timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-01-28,1645.47409476,1747.53495624,1645.47409476,1743.33784255,1645.47409476,1747.53495624,1645.47409476,1743.33784255,57570.63363744,100365064.23985322
2018-01-27,1596.74257365,1672.70569490,1570.94832628,1643.38757463,1596.74257365,1672.70569490,1570.94832628,1643.38757463,29374.84366329,48274253.08290194
2018-01-26,1648.67474652,1685.46003287,1510.97373927,1599.20378296,1648.67474652,1685.46003287,1510.97373927,1599.20378296,47115.54105477,75347351.49082625
2018-01-25,1663.41077553,1704.08855775,1621.04367102,1653.70737694,1663.41077553,1704.08855775,1621.04367102,1653.70737694,30088.91427870,49758259.50693350
2018-01-24,1628.78337062,1683.81243847,1578.37276398,1648.51552231,1628.78337062,1683.81243847,1578.37276398,1648.51552231,37403.70744268,61660592.31112871
2018-01-23,1626.47397551,1692.95755531,1511.78665000,1620.70021745,1626.47397551,1692.95755531,1511.78665000,1620.70021745,51451.58502218,83387595.03339300
2018-01-22,1789.23611143,1820.93040986,1531.53462723,1636.27066464,1789.23611143,1820.93040986,1531.53462723,1636.27066464,61470.05898038,100581654.26342247
2018-01-21,2039.59862489,2041.56669000,1731.50747373,1776.47648649,2039.59862489,2041.56669000,1731.50747373,1776.47648649,59620.82001867,105914984.86836606
2018-01-20,1780.01800465,2121.23646758,1779.35574754,2041.28552763,1780.01800465,2121.23646758,1779.35574754,2041.28552763,67395.11026773,137572663.22266626
2018-01-19,1733.08212524,1870.43971413,1731.99298125,1774.44220736,1733.08212524,1870.43971413,1731.99298125,1774.44220736,48788.07237203,86571614.83284377
2018-01-18,1757.46413079,1889.65700069,1709.05920890,1744.99231755,1757.46413079,1889.65700069,1709.05920890,1744.99231755,74932.32127878,130756324.96778893
2018-01-17,1777.67920572,1910.24514878,1356.41004728,1752.45309825,1777.67920572,1910.24514878,1356.41004728,1752.45309825,152972.19663588,268076599.94095185
2018-01-16,2403.91222313,2408.07323733,1557.80493687,1792.69027800,2403.91222313,2408.07323733,1557.80493687,1792.69027800,198444.68563889,355749858.66525680
2018-01-15,2541.68069941,2558.64385597,2377.51519952,2392.12954492,2541.68069941,2558.64385597,2377.51519952,2392.12954492,46761.26449340,111859002.35231701
2018-01-14,2670.57444806,2723.86234594,2468.24741552,2539.40810577,2670.57444806,2723.86234594,2468.24741552,2539.40810577,44015.47720851,111773259.60272646
2018-01-13,2601.63991146,2858.65698345,2573.21268495,2662.58372702,2601.63991146,2858.65698345,2573.21268495,2662.58372702,63997.06219441,170397536.37591437
2018-01-12,2448.47081944,2634.17270558,2385.21535781,2597.02896939,2448.47081944,2634.17270558,2385.21535781,2597.02896939,54677.19152581,141998250.35747048
2018-01-11,2861.76452953,2953.68150926,2399.30596157,2440.56539591,2861.76452953,2953.68150926,2399.30596157,2440.56539591,129326.43818691,315629629.81561750
2018-01-10,2388.09083291,2940.77184915,2319.73261729,2853.00783498,2388.09083291,2940.77184915,2319.73261729,2853.00783498,155422.04470091,443420311.25955153
2018-01-09,2409.88271090,2483.02098602,2337.26599469,2386.59714745,2409.88271090,2483.02098602,2337.26599469,2386.59714745,50385.15170264,120249059.32729653
2018-01-08,2539.90042790,2563.83855576,2248.37850191,2415.06557858,2539.90042790,2563.83855576,2248.37850191,2415.06557858,68698.82713602,165912172.70514652
2018-01-07,2537.32164594,2749.99630047,2502.04626683,2540.21678593,2537.32164594,2749.99630047,2502.04626683,2540.21678593,66038.54641442,167752224.12008178
2018-01-06,2397.88043127,2639.68830310,2336.92129275,2551.64047899,2397.88043127,2639.68830310,2336.92129275,2551.64047899,65864.19006091,168061733.47528571
2018-01-05,2360.77013047,2499.10081934,2319.91519016,2401.23992382,2360.77013047,2499.10081934,2319.91519016,2401.23992382,67631.96320301,162400570.16950947
2018-01-04,2560.69324681,2560.75459589,2337.33194946,2367.95691035,2560.69324681,2560.75459589,2337.33194946,2367.95691035,66446.76928595,157343086.50139907
2018-01-03,2563.97476315,2777.23928081,2532.26017682,2555.99177517,2563.97476315,2777.23928081,2532.26017682,2555.99177517,51127.22584629,130680768.75054049
2018-01-02,2335.89586450,2677.89750967,2331.74024318,2558.98892356,2335.89586450,2677.89750967,2331.74024318,2558.98892356,69857.59608552,178764814.60961306
2018-01-01,2384.91107373,2407.60905833,2282.97840749,2342.56648801,2384.91107373,2407.60905833,2282.97840749,2342.56648801,27982.67231125,65551270.40142012
2017-12-31,2223.62343401,2487.53047960,2187.14555288,2384.72048538,2223.62343401,2487.53047960,2187.14555288,2384.72048538,46763.45648981,111517772.65820187
2017-12-30,2632.39644013,2637.29160456,2130.43380371,2240.37231370,2632.39644013,2637.29160456,2130.43380371,2240.37231370,73194.10474787,163982045.80337685
2017-12-29,2501.06054216,2852.60723641,2327.30276279,2631.90055607,2501.06054216,2852.60723641,2327.30276279,2631.90055607,87034.84871694,229067066.73576301
2017-12-28,2721.31738877,2733.75141873,2329.67399152,2497.50025405,2721.31738877,2733.75141873,2329.67399152,2497.50025405,70102.91767597,175082054.70565534
2017-12-27,2928.75336383,2928.75336383,2590.84057126,2727.50382709,2928.75336383,2928.75336383,2590.84057126,2727.50382709,53305.74332062,145391618.91277531
2017-12-26,2761.10529369,2924.50960455,2741.58758159,2924.31852037,2761.10529369,2924.50960455,2741.58758159,2924.31852037,58073.09422040,169824224.96365887
2017-12-25,2813.27576490,2894.02125004,2627.97722455,2769.43815352,2813.27576490,2894.02125004,2627.97722455,2769.43815352,57916.05471803,160394931.63728023
2017-12-24,3023.62824713,3023.62824713,2500.15157377,2785.56867552,3023.62824713,3023.62824713,2500.15157377,2785.56867552,146915.42759102,409243013.04766059
2017-12-23,2533.48992263,3280.78644949,2491.80176255,2989.89452151,2533.48992263,3280.78644949,2491.80176255,2989.89452151,175145.95417640,523667928.85678262
2017-12-22,3081.81050370,3153.83000949,1802.23712636,2522.72993372,3081.81050370,3153.83000949,1802.23712636,2522.72993372,359611.71909543,907203248.27676511
2017-12-21,3720.29273286,3720.29273286,2877.35839946,3047.16052131,3720.29273286,3720.29273286,2877.35839946,3047.16052131,152521.19160214,464756553.71383983
2017-12-20,2675.08612087,4102.05400523,2675.08612087,3670.63973478,2675.08612087,4102.05400523,2675.08612087,3670.63973478,409087.47185034,1501612729.17356253
2017-12-19,2144.91810555,2819.17068079,2094.84562706,2665.25428983,2144.91810555,2819.17068079,2094.84562706,2665.25428983,238555.86236375,635812035.52979755
2017-12-18,1830.97515806,2299.28884571,1764.54744148,2144.98849892,1830.97515806,2299.28884571,1764.54744148,2144.98849892,174600.17459069,374515366.40648395
2017-12-17,1776.14794735,1891.91171568,1776.14794735,1827.22387154,1776.14794735,1891.91171568,1776.14794735,1827.22387154,49098.51706645,89713982.44087660
2017-12-16,1784.50356768,1852.77892624,1744.73788334,1771.53128763,1784.50356768,1852.77892624,1744.73788334,1771.53128763,51772.72341567,91716999.37676927
