timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-03-09,1.00038540,1.00059612,1.00004880,1.00010109,1.00038540,1.00059612,1.00004880,1.00010109,84168297.21984465,84176805.42637257
2018-03-08,1.00012618,1.00068416,1.00009245,1.00035988,1.00012618,1.00068416,1.00009245,1.00035988,60808806.92616133,60830690.93626796
2018-03-07,1.00003408,1.00017698,1.00001002,1.00012710,1.00003408,1.00017698,1.00001002,1.00012710,69221076.75346707,69229875.03138033
2018-03-06,1.00000010,1.00006556,0.99998896,1.00003694,1.00000010,1.00006556,0.99998896,1.00003694,64811258.86499394,64813652.89006763
2018-03-05,1.00000135,1.00000135,0.99998465,0.99998918,1.00000135,1.00000135,0.99998465,0.99998918,69656587.23557656,69655833.66101044
2018-03-04,1.00009430,1.00015133,0.99998077,1.00000135,1.00009430,1.00015133,0.99998077,1.00000135,25397287.49760423,25397321.72327767
2018-03-03,1.00002105,1.00018026,1.00001477,1.00011078,1.00002105,1.00018026,1.00001477,1.00011078,16082161.02171199,16083942.61436116
2018-03-02,1.00002851,1.00011799,0.99999963,1.00002113,1.00002851,1.00011799,0.99999963,1.00002113,38087178.73382345,38087983.59229658
2018-03-01,1.00005939,1.00020645,0.99996176,1.00002853,1.00005939,1.00020645,0.99996176,1.00002853,46684940.28815357,46686272.31141783
2018-02-28,1.00011004,1.00023773,1.00003591,1.00005378,1.00011004,1.00023773,1.00003591,1.00005378,39201596.18194075,39203704.48546714
2018-02-27,1.00012519,1.00024428,1.00006242,1.00011030,1.00012519,1.00024428,1.00006242,1.00011030,31052419.85334608,31055844.91578080
2018-02-26,1.00024465,1.00068482,1.00010307,1.00012511,1.00024465,1.00068482,1.00010307,1.00012511,58969102.37628430,58976480.02598333
2018-02-25,1.00009410,1.00067273,1.00009373,1.00032561,1.00009410,1.00067273,1.00009373,1.00032561,30896026.00369526,30906085.96592397
2018-02-24,1.00005027,1.00013121,1.00004693,1.00010090,1.00005027,1.00013121,1.00004693,1.00010090,80021943.15149754,80030017.67934482
